ID,Label,Adj_ID,Adj_Label,ID_encode,Adj_ID_encode
1_DIN_1,20,1_HAL_1,8,7,11
1_DIN_1,20,1_KIT_1,3,7,14
1_POR_1,18,1_HAL_1,8,18,11
1_LAU_1,10,1_HAL_3,8,15,13
1_BED_1,2,1_HAL_2,8,2,12
1_BED_1,2,1_BAT_1,4,2,0
1_DRE_1,5,1_BED_3,2,8,4
1_BAT_1,4,1_DRE_2,5,0,9
1_BAT_1,4,1_DRE_3,5,0,10
1_BAT_1,4,1_BED_1,2,0,2
1_HAL_1,8,1_LIV_1,1,11,17
1_HAL_1,8,1_DIN_1,20,11,7
1_HAL_1,8,1_POR_1,18,11,18
1_BED_2,2,1_CLO_1,11,3,5
1_BED_2,2,1_HAL_3,8,3,13
1_LIV_1,1,1_HAL_1,8,17,11
1_LIV_1,1,1_KIT_1,3,17,14
1_LIV_1,1,1_HAL_2,8,17,12
1_LIV_1,1,1_HAL_3,8,17,13
1_LIV_1,1,1_POR_2,18,17,19
1_POR_2,18,1_LIV_1,1,19,17
1_DRE_2,5,1_BAT_1,4,9,0
1_KIT_1,3,1_LIV_1,1,14,17
1_KIT_1,3,1_DIN_1,20,14,7
1_KIT_1,3,1_HAL_3,8,14,13
1_HAL_2,8,1_LIV_1,1,12,17
1_HAL_2,8,1_BED_1,2,12,2
1_HAL_3,8,1_LIV_1,1,13,17
1_HAL_3,8,1_CLO_2,11,13,6
1_HAL_3,8,1_LAU_1,10,13,15
1_HAL_3,8,1_BED_2,2,13,3
1_HAL_3,8,1_BED_3,2,13,4
1_HAL_3,8,1_LAU_2,10,13,16
1_HAL_3,8,1_BAT_2,4,13,1
1_HAL_3,8,1_KIT_1,3,13,14
1_CLO_1,11,1_BED_2,2,5,3
1_BED_3,2,1_DRE_1,5,4,8
1_BED_3,2,1_HAL_3,8,4,13
1_LAU_2,10,1_HAL_3,8,16,13
1_DRE_3,5,1_BAT_1,4,10,0
1_CLO_2,11,1_HAL_3,8,6,13
1_BAT_2,4,1_HAL_3,8,1,13
